Protocol,Flow Duration,Total Fwd Packets,Total Backward Packets,Fwd Packets Length Total,Bwd Packets Length Total,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Avg Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init Fwd Win Bytes,Init Bwd Win Bytes,Fwd Act Data Packets,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label,
6,1760204,2,6,20,11607,20,0,10,14.142136,5840,0,1934.5,2538.9192,6605.484364,4.544927747,251457.72,664776.06,1759028,13,806,806,0,806,806,1760125,352025,786538.7,1759028,13,0,0,0,0,52,132,1.1362319,3.4086957,0,5840,1291.8889,2226.654,4.96E+06,0,0,0,1,0,0,0,0,3,1453.375,10,1934.5,0,0,0,0,0,0,2,20,6,11607,8192,229,1,20,0,0,0,0,0,0,0,0,DDoS,
6,8183849,5,0,30,0,6,6,6,0,0,0,0,0,3.665756785,0.610959464,2.05E+06,4.09E+06,8182809,1,8183849,2.05E+06,4.09E+06,8182809,1,0,0,0,0,0,0,0,0,0,100,0,0.6109595,0,6,6,6,0,0,0,0,0,0,1,0,0,0,0,7.2,6,0,0,0,0,0,0,0,5,30,0,0,256,-1,4,20,1040,0,1040,1040,8.18E+06,0,8182809,8182809,DDoS,
6,1760165,3,4,26,11607,20,0,8.666667,10.263203,11595,0,2901.75,5795.5005,6609.039493,3.976899893,293360.84,718153.3,1759285,6,805,402.5,499.9245,756,49,1760118,586706,1.02E+06,1759285,6,0,0,0,0,72,92,1.7043856,2.2725143,0,11595,1454.125,4097.5376,1.68E+07,0,0,0,1,0,0,0,0,1,1661.8572,8.666667,2901.75,0,0,0,0,0,0,3,26,4,11607,8192,229,2,20,0,0,0,0,0,0,0,0,DDoS,
6,8182854,4,0,24,0,6,6,6,0,0,0,0,0,2.93296202,0.488827003,2.73E+06,4.72E+06,8181843,1,8182854,2.73E+06,4.72E+06,8181843,1,0,0,0,0,0,0,0,0,0,80,0,0.488827,0,6,6,6,0,0,0,0,0,0,1,0,0,0,0,7.5,6,0,0,0,0,0,0,0,4,24,0,0,256,-1,3,20,1011,0,1011,1011,8.18E+06,0,8181843,8181843,DDoS,
6,1760186,3,5,26,11607,20,0,8.666667,10.263203,7215,0,2321.4,3327.7698,6608.960644,4.544974224,251455.14,664856.56,1759208,13,748,374,472.34732,708,40,1760171,440042.75,879443.56,1759208,13,0,0,0,0,72,112,1.7043654,2.8406088,0,7215,1292.5555,2650.5857,7.03E+06,0,0,0,1,0,0,0,0,1,1454.125,8.666667,2321.4,0,0,0,0,0,0,3,26,5,11607,8192,229,2,20,0,0,0,0,0,0,0,0,DDoS,
6,8181814,5,0,30,0,6,6,6,0,0,0,0,0,3.666668541,0.611111423,2.05E+06,4.09E+06,8179812,3,8181814,2.05E+06,4.09E+06,8179812,3,0,0,0,0,0,0,0,0,0,100,0,0.6111114,0,6,6,6,0,0,0,0,0,0,1,0,0,0,0,7.2,6,0,0,0,0,0,0,0,5,30,0,0,256,-1,4,20,2002,0,2002,2002,8.18E+06,0,8179812,8179812,DDoS,
6,78408,3,6,26,11601,20,0,8.666667,10.263203,4380,0,1933.5,1757.7899,148288.44,114.7842057,9801,22517.977,64444,34,13033,6516.5,9064.401,12926,107,78298,15659.6,27824.598,64444,34,0,0,0,0,72,132,38.261402,76.522804,0,4380,1162.7,1645.2418,2.71E+06,0,0,0,1,0,0,0,0,2,1291.8889,8.666667,1933.5,0,0,0,0,0,0,3,26,6,11601,8192,229,2,20,0,0,0,0,0,0,0,0,DDoS,
6,8145816,4,0,24,0,6,6,6,0,0,0,0,0,2.946297829,0.491049638,2.72E+06,4.70E+06,8140839,52,8145816,2.72E+06,4.70E+06,8140839,52,0,0,0,0,0,0,0,0,0,80,0,0.49104965,0,6,6,6,0,0,0,0,0,0,1,0,0,0,0,7.5,6,0,0,0,0,0,0,0,4,24,0,0,256,-1,3,20,4977,0,4977,4977,8.14E+06,0,8140839,8140839,DDoS,
6,78374,3,6,26,11601,20,0,8.666667,10.263203,5840,0,1933.5,2189.773,148352.7701,114.8340011,9796.75,22537.762,64474,46,12992,6496,9118.849,12944,48,78317,15663.4,27844.428,64474,46,0,0,0,0,72,132,38.278,76.556,0,5840,1162.7,1911.5957,3.65E+06,0,0,0,1,0,0,0,0,2,1291.8889,8.666667,1933.5,0,0,0,0,0,0,3,26,6,11601,8192,229,2,20,0,0,0,0,0,0,0,0,DDoS,
6,8145761,5,0,30,0,6,6,6,0,0,0,0,0,3.682897154,0.613816192,2.04E+06,4.07E+06,8140803,1,8145761,2.04E+06,4.07E+06,8140803,1,0,0,0,0,0,0,0,0,0,100,0,0.6138162,0,6,6,6,0,0,0,0,0,0,1,0,0,0,0,7.2,6,0,0,0,0,0,0,0,5,30,0,0,256,-1,4,20,4958,0,4958,4958,8.14E+06,0,8140803,8140803,DDoS,
6,5169956,8,6,1101,4222,410,0,137.625,185.75862,3525,0,703.6667,1395.8683,1029.602573,2.707953414,397688.94,1.3684092e+06,4951173,112,218783,31254.715,30686.295,78311,219,5169833,1.0339666e+06,2.218975e+06,5002421,840,0,0,0,0,172,132,1.5474019,1.1605514,0,3525,354.86667,895.1152,801231.1,0,0,0,1,0,0,0,0,0,380.2143,137.625,703.6667,0,0,0,0,0,0,8,1101,6,4222,8192,254,7,20,0,0,0,0,0,0,0,0,DoS slowloris,
6,512418,4,2,231,0,231,0,57.75,115.5,0,0,0,0,450.8038359,11.70919054,102483.6,228723.8,511637,46,512418,170806,295210.84,511686,129,735,735,0,735,735,0,0,0,0,136,72,7.806127,3.9030635,0,231,33,87.30979,7623,0,0,0,1,0,0,0,0,0,38.5,57.75,0,0,0,0,0,0,0,4,231,2,0,29200,235,1,32,0,0,0,0,0,0,0,0,DoS slowloris,
6,512661,4,2,231,0,231,0,57.75,115.5,0,0,0,0,450.5901561,11.70364042,102532.2,228816.9,511852,3,512661,170887,295340,511916,3,762,762,0,762,762,0,0,0,0,136,72,7.802427,3.9012134,0,231,33,87.30979,7623,0,0,0,1,0,0,0,0,0,38.5,57.75,0,0,0,0,0,0,0,4,231,2,0,29200,235,1,32,0,0,0,0,0,0,0,0,DoS slowloris,
6,1878,3,6,382,11595,382,0,127.333336,220.5478,4355,0,1932.5,2182.4683,6377529.286,4792.332268,234.75,229.12988,577,15,975,487.5,265.16504,675,300,1780,356,399.78806,950,15,0,0,0,0,104,200,1597.4441,3194.8882,0,4355,1197.7,1886.3324,3.5582498e+06,0,0,0,1,0,0,0,0,2,1330.7778,127.333336,1932.5,0,0,0,0,0,0,3,382,6,11595,29200,235,1,32,0,0,0,0,0,0,0,0,DoS Hulk,
6,1550,3,6,372,11595,372,0,124,214.7743,5792,0,1932.5,2537.82,7720645.161,5806.451613,193.75,262.93985,658,3,669,334.5,402.34375,619,50,1503,300.6,366.3138,742,3,0,0,0,0,104,200,1935.4839,3870.9678,0,5792,1196.7,2119.42,4.491941e+06,0,0,0,1,0,0,0,0,2,1329.6666,124,1932.5,0,0,0,0,0,0,3,372,6,11595,29200,235,1,32,0,0,0,0,0,0,0,0,DoS Hulk,
6,497,4,0,0,0,0,0,0,0,0,0,0,0,0,8048.289738,165.66667,153.20683,304,1,497,165.66667,153.20683,304,1,0,0,0,0,0,0,0,0,0,128,0,8048.2896,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,251,-1,0,32,0,0,0,0,0,0,0,0,DoS Hulk,
6,1893,3,7,348,11595,348,0,116,200.9179,4344,0,1656.4286,1760.5973,6309033.281,5282.62018,210.33333,237.8592,769,3,967,483.5,584.7773,897,70,1765,294.16666,351.90192,956,3,0,0,0,0,104,232,1584.786,3697.8342,0,4344,1085.7273,1579.8345,2.4958768e+06,0,0,0,1,0,0,0,0,2,1194.3,116,1656.4286,0,0,0,0,0,0,3,348,7,11595,29200,235,1,32,0,0,0,0,0,0,0,0,DoS Hulk,
6,119973135,4376,4374,2321478,26244,1273,6,530.50226,262.76883,6,6,6,0,19568.73095,72.93299454,13712.782,20459.264,1163091,1,120000000,27422.432,23472.12,1196394,95,120000000,27431.072,22575.238,1163557,527,0,0,0,0,87520,87480,36.47483,36.45816,6,1273,268.2811,321.41446,103307.24,0,0,0,0,1,0,0,0,0,268.31177,530.50226,6,0,0,0,0,0,0,4376,2321478,4374,26244,3294,3294,4375,20,0,0,0,0,0,0,0,0,Infiltration,
6,86726608,1775,1775,785275,10650,1274,6,442.40845,251.44696,6,6,6,0,9177.402626,40.93322778,24436.914,502642.9,28800000,20,86700000,48886.21,711050.75,28900000,413,86700000,48887.418,710231.75,28800000,526,1,0,0,0,35500,35500,20.466614,20.466614,6,1274,224.16785,281.4476,79212.76,0,1,0,0,1,0,0,0,1,224.23099,442.40845,6,0,0,0,0,0,0,1775,785275,1775,10650,255,3977,1774,20,2.31e+07,2.61e+07,41600000,4649995,1.74e+07,1.62e+07,28800000,5953706,Infiltration,
6,521265,6,7,468,635,282,0,78,122.846245,458,0,90.71429,174.87587,2116.006254,24.93933028,43438.75,54682.1,138750,4,425611,85122.2,95898.5,234224,392,425859,70976.5,57283.613,138750,4,0,0,0,0,200,232,11.51046,13.42887,0,458,78.78571,143.0848,20473.258,0,0,0,1,0,0,0,0,1,84.84615,78,90.71429,0,0,0,0,0,0,6,468,7,635,29200,243,3,32,0,0,0,0,0,0,0,0,Benign,
6,5142985,3,1,31,0,31,0,10.333333,17.897858,0,0,0,0,6.027627924,0.777758442,1.7143284e+06,2.937884e+06,5106640,55,5142985,2.5714925e+06,3.6365618e+06,5142930,55,0,0,0,0,0,0,0,0,0,96,32,0.5833188,0.1944396,0,31,6.2,13.863622,192.2,0,0,0,0,1,0,0,0,0,7.75,10.333333,0,0,0,0,0,0,0,3,31,1,0,4605,485,1,32,36290,0,36290,36290,5.10664e+06,0,5106640,5106640,Benign,
6,94849,2,1,0,0,0,0,0,0,0,0,0,0,0,31.62922118,47424.5,67064.125,94846,3,3,3,0,3,3,0,0,0,0,0,0,0,0,0,64,32,21.086147,10.543074,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,304,252,0,32,0,0,0,0,0,0,0,0,Benign,
6,95173,1,1,0,0,0,0,0,0,0,0,0,0,0,21.01436332,95173,0,95173,95173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,10.507182,10.507182,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,245,243,0,32,0,0,0,0,0,0,0,0,Benign,
6,5028347,3,1,12,0,6,0,4,3.4641016,0,0,0,0,2.386470146,0.795490049,1.6761156e+06,2.8833295e+06,5005472,68,5028347,2.5141735e+06,3.5232282e+06,5005472,22875,0,0,0,0,0,0,0,0,0,72,32,0.5966175,0.1988725,0,6,2.4,3.2863352,10.8,0,0,0,1,0,0,0,0,0,3,4,0,0,0,0,0,0,0,3,12,1,0,8192,65535,2,20,0,0,0,0,0,0,0,0,Benign,
